Affy Probe Id,Gene,Ensembl gene ID,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,
204075_s_at,KIAA0562,ENSG00000116198,3602,2823.9501,-2.17966,0.0033,2.00E-04,
202581_at,HSPA1B,ENSG00000204388,2109,2824.1097,-2.31209,0.0033,2.00E-04,
221751_at,PANK3,ENSG00000120137,21111,2824.9779,-2.40477,0.0033,2.00E-04,
205442_at,MFAP3L,ENSG00000198948,4969,2825.1495,-3.28319,0.0033,2.00E-04,
200645_at,GABARAP,ENSG00000170296,173,2825.311,-2.36543,0.0033,2.00E-04,
201861_s_at,LRRFIP1,ENSG00000124831,1389,2826.5706,-2.28469,0.0033,2.00E-04,
218991_at,HEATR6,ENSG00000068097,18355,2830.9889,-2.31129,0.0034,2.00E-04,
203513_at,SPG11,ENSG00000104133,3040,2831.0209,-2.32173,0.0034,2.00E-04,
212412_at,PDLIM5,ENSG00000163110,11797,2832.2638,-2.37232,0.0034,2.00E-04,
205376_at,INPP4B,ENSG00000109452,4903,2832.5779,-2.23117,0.0034,2.00E-04,
221665_s_at,EPS8L1,ENSG00000131037,21026,2837.971,-2.33545,0.0035,2.00E-04,
214149_s_at,nil,nil,nil,13528,2839.7637,-2.50915,0.0035,2.00E-04
203569_s_at,OFD1,ENSG00000046651,3096,2840.4057,-2.35839,0.0035,2.00E-04,
201576_s_at,GLB1,ENSG00000170266,1104,2840.9705,-2.28438,0.0035,2.00E-04,
203891_s_at,DAPK3,ENSG00000167657,3418,2843.7016,-2.35953,0.0035,2.00E-04,
204745_x_at,MT1G,ENSG00000125144,4272,2846.183,-2.2708,0.0036,2.00E-04,
212935_at,ENSG00000256841,,12319,2848.2712,-2.31274,0.0036,2.00E-04,
202040_s_at,KDM5A,ENSG00000073614,1568,2848.5612,-2.32447,0.0036,2.00E-04,
214046_at,nil,nil,nil,13425,2850.7952,-2.21484,0.0036,2.00E-04
214703_s_at,MAN2B2,ENSG00000013288,14079,2857.5184,-2.35381,0.0037,2.00E-04,
205112_at,PLCE1,ENSG00000138193,4639,2860.4889,-2.52555,0.0037,2.00E-04,
221799_at,MIR671,ENSG00000211517,21159,2862.1631,-2.46161,0.0038,2.00E-04,
221528_s_at,ELMO2,ENSG00000062598,20891,2862.2597,-2.28279,0.0037,2.00E-04,
219232_s_at,EGLN3,ENSG00000129521,18596,2863.7608,-2.53432,0.0038,2.00E-04,
201649_at,UBE2L6,ENSG00000156587,1177,2867.4127,-2.55266,0.0038,2.00E-04,
213940_s_at,FNBP1,ENSG00000187239,13319,2869.4722,-2.29724,0.0038,2.00E-04,
206303_s_at,NUDT4,ENSG00000173598,5829,2871.5324,-2.37068,0.0039,2.00E-04,
201884_at,CEACAM5,ENSG00000105388,1412,2871.8675,-2.57737,0.0039,2.00E-04,
201749_at,ECE1,ENSG00000117298,1277,2873.9556,-2.28184,0.0039,2.00E-04,
203896_s_at,PLCB4,ENSG00000101333,3423,2874.8097,-2.54118,0.0039,2.00E-04,
203241_at,UVRAG,ENSG00000198382,2769,2875.5579,-2.3137,0.0039,2.00E-04,
222312_s_at,nil,nil,nil,21671,2876.1656,-2.34534,0.0039,2.00E-04
